Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,CL05C470JB51PNC,,Samsung,2060,,,,,,,,,,,,
,ERJ-2RKF1002X,,Panasonic,41992,,,,,,,,,,,,
,CL05A105KQ5NNNC,,Samsung,88,,,,,,,,,,,,
,CC0402JRNPO9BN180,,Yageo,913,,,,,,,,,,,,
,ERJ-2RKF1743X,,Panasonic,4822,,,,,,,,,,,,
,ERJ-2RKF1601X,,Panasonic,1453,,,,,,,,,,,,
,RC0805JR-07470RL,,Yageo,157,,,,,,,,,,,,
,GRM1555C1H220JZ01D,,Murata,542,,,,,,,,,,,,
,RC0402JR-0775KL,,Yageo,4780,,,,,,,,,,,,
,RC0402FR-0760R4L,,Yageo,4684,,,,,,,,,,,,
,ERJ-2RKF3653X,,Panasonic,4891,,,,,,,,,,,,
,RC0402FR-07110KL,,Yageo,2439,,,,,,,,,,,,
,RC0402FR-072K2P,,Yageo,332,,,,,,,,,,,,
,GRM1555C1H471JA01D,,Murata,308,,,,,,,,,,,,
,RC0402FR-0780K6L,,Yageo,7272,,,,,,,,,,,,
,AC2010JK-072KL,,Yageo,1903,,,,,,,,,,,,
,CC0402KRX7R7BB102,,Yageo,3588,,,,,,,,,,,,
,RC0402FR-07220RL,,Yageo,4357,,,,,,,,,,,,
,RC0402JR-0722KL,,Yageo,7125,,,,,,,,,,,,
,C0402C101J3GAC7867,,Kemet Electronics Corp,29161,,,,,,,,,,,,
,NRC10F2101TRF,,NIC,29,,,,,,,,,,,,
,C1005X5R1E105K050BC (NRND),,TDK Corp,11718,,,,,,,,,,,,
,ERJ-P14J162U,,Panasonic,8150,,,,,,,,,,,,
,RK73H2BTTD3011F,,Koa Speer,3048,,,,,,,,,,,,
,ERJ-2RKF1503X,,Panasonic,3916,,,,,,,,,,,,
,RK73H2BTTD4992F,,KOASPEER,3362,,,,,,,,,,,,
,RK73H2BTTD1151F,,Koa Speer,58,,,,,,,,,,,,
,ERJ-2RKF3571X,,Panasonic,7700,,,,,,,,,,,,
,GRM188R71H222KA01D,,Murata,1747,,,,,,,,,,,,
,RC1210JR-074K7L,,Yageo,182,,,,,,,,,,,,
,RC0805JR-07560RL,,Yageo,4991,,,,,,,,,,,,
,RC0603FR-0768KL,,Yageo,75492,,,,,,,,,,,,
,ERJ-6ENF2260V,,Panasonic,2991,,,,,,,,,,,,
,RC0805JR-072KL,,Yageo,2272,,,,,,,,,,,,
,CRCW06035K11FKEA,,DALE,2800,,,,,,,,,,,,
,RC0603JR-07300KL,,Yageo,1872,,,,,,,,,,,,
,ERJ14NF5621U,,Panasonic,351,,,,,,,,,,,,
,CRCW060356R2FKEA,,VISHAY/DAL,1681,,,,,,,,,,,,
,9C06031A1202JLHFT,,Yageo,1269,,,,,,,,,,,,
,TBC18107-610103-B,,CTC,5,,,,,,,,,,,,
,MAX6328XR31+T,,Maxim Integrated,217,,,,,,,,,,,,
,C0603C472J5GACTU,,Kemet Electronics Corp,748,,,,,,,,,,,,
,C0603C0G1H470J030BA,,TDK Corp,2001,,,,,,,,,,,,
,HFI-160808-1N2S,,JARO,3600,,,,,,,,,,,,
,9C06031A1472FKHFT,,Yageo,1204,,,,,,,,,,,,
,RC0402FR-07620RL,,Yageo,7216,,,,,,,,,,,,
,RK73H2ATTD1003F,,Koa Speer,3505,,,,,,,,,,,,
,RT0805FRE07499KL,,Yageo,291,,,,,,,,,,,,
,ERJ-2RKF2433X,,Panasonic,95,,,,,,,,,,,,
,CL10A475KO8NNNC,,Samsung,600,,,,,,,,,,,,
,C2012X5R1C106M085AC,,TDK Corp,3906,,,,,,,,,,,,
,SN74LVC06ARGYR,,Texas Instruments,405,,,,,,,,,,,,
,RK73H1ETTP9531F,,KOASPEER,3234,,,,,,,,,,,,
,3075,,ALPHA,660,,,,,,,,,,,,
,TAT-125-1/4-0-STK,,RAYCHEM/TY,226,,,,,,,,,,,,
,RC0603FR-0734K8L,,Yageo,544,,,,,,,,,,,,
,C3216X5R1E106M085AC,,TDK Corp,254,,,,,,,,,,,,
,RC0402FR-07330RL,,Yageo,6531,,,,,,,,,,,,
,RC0402FR-071K13L,,Yageo,1849,,,,,,,,,,,,
,502494-1470,,Molex LLC,1447,,,,,,,,,,,,
,5-103946-1,,Amphenol,83,,,,,,,,,,,,
,TS3L110RGYR,,Texas Instruments,832,,,,,,,,,,,,
,C0402C104K4RACTU,,Kemet Electronics Corp,10000,,,,,,,,,,,,
,RK73H1ETTP1582F,,KOASPEER,1124,,,,,,,,,,,,
,CRCW040233K2FKED,,VISHAY,15230,,,,,,,,,,,,
,RC0402FR-0723K2L,,Yageo,6639,,,,,,,,,,,,
,RC0603FR-07412RL,,Yageo,1552,,,,,,,,,,,,
,39-29-1067,,Molex LLC,3380,,,,,,,,,,,,
,1-329632-2,,TE Connectivity,192,,,,,,,,,,,,
,RL1206FR-070R75L,,Yageo,4604,,,,,,,,,,,,
,TCBS-8-01,,PROPOWER,75,,,,,,,,,,,,
,RK73H1ETTP5901F,,KOASPEER,2842,,,,,,,,,,,,
,04023C682KAT2A,,Avx Corp,7348,,,,,,,,,,,,
,CR0402-FX-4222GLF,,Bourns Inc,5370,,,,,,,,,,,,
,CC0805JRNPO9BN471,,Yageo,1542,,,,,,,,,,,,
,C1608C0G1H270J,,TDK Corp,544,,,,,,,,,,,,
,ERJ-2RKF4423X,,Panasonic,11388,,,,,,,,,,,,
,0603ZC224KAT2A,,Avx Corp,6348,,,,,,,,,,,,
,1N5261B,,MCC,341,,,,,,,,,,,,
,1.5KE75AG,,On Semiconductor,33,,,,,,,,,,,,
,ECQE2475KB,,Panasonic,341,,,,,,,,,,,,
,C1005X7R1A224K050BB,,TDK Corp,14035,,,,,,,,,,,,
,RMCF2512JT1K00,,Stackpole,1480,,,,,,,,,,,,
,0404LPP,,KANEBRIDGE,796,,,,,,,,,,,,
,ERJ6GEYJ823V,,Panasonic,6929,,,,,,,,,,,,
,ERJ-14YJ561U,,Panasonic,478,,,,,,,,,,,,
,06033C104JAZ2A,,Avx Corp,1670,,,,,,,,,,,,
,RC0805FR-0749R9L,,Yageo,351,,,,,,,,,,,,
,ERJ-2RKF4301X,,Panasonic,1960,,,,,,,,,,,,
,0ZCM0010FF2G,,BELFUSE,1018,,,,,,,,,,,,
,ABS25-32.768KHZ-6-1-T,,Abracon,796,,,,,,,,,,,,
,C1005X5R0J475K050BC,,TDK Corp,1255,,,,,,,,,,,,
,B2100AF-13,,DIODESINC,5609,,,,,,,,,,,,
,2450AT18D0100,,JOHANSON,444,,,,,,,,,,,,
,5065-2,,KEYSTONE,53,,,,,,,,,,,,
,06035C823JAT2A,,Avx Corp,1765,,,,,,,,,,,,
,C0805C221K5RACTU,,Kemet Electronics Corp,2023,,,,,,,,,,,,
,1.5SMC62CA,,Bourns Inc,24,,,,,,,,,,,,
,ERJ-1GEF2490C,,Panasonic,1450,,,,,,,,,,,,
,TCMT1107,,VISHAY/SEM,15,,,,,,,,,,,,
,MFR-25FBF-10K0,,Yageo,786,,,,,,,,,,,,
,GRM188R71A124JA01J,,Murata,8759,,,,,,,,,,,,
,ERJ-1GEF1004C,,Panasonic,3059,,,,,,,,,,,,
,ERJ-1GEF60R4C,,Panasonic,1831,,,,,,,,,,,,
,DDTC144EE-7-F,,DIODESINC,957,,,,,,,,,,,,
,RLB0912-101KL,,Bourns Inc,102,,,,,,,,,,,,
,MFR-25FBF-1M00,,Yageo,994,,,,,,,,,,,,
,43045-0200,,Molex LLC,87,,,,,,,,,,,,
,LTC-4724JR,,LITE-ON,407,,,,,,,,,,,,
,ES1B,,ON,4475,,,,,,,,,,,,
,ACM2012D-900-2P-T00,,TDK Corp,852,,,,,,,,,,,,
,P6SMB91A,,Littelfuse Inc,2280,,,,,,,,,,,,
,IL-Z-C3-A-15000,,JAE,77861,,,,,,,,,,,,
,9536 BLK/INSUL,,BELDENVA,52993,,,,,,,,,,,,
,AS999-24 BROWN,,COONER WIR,9206,,,,,,,,,,,,
,2-332070-1,,TE CONNECT,8512,,,,,,,,,,,,
,AS999-22 RED,,COONER WIR,5600,,,,,,,,,,,,
,ERJ-2RKF4990X,,Panasonic,23000,,,,,,,,,,,,
,CC0603JRX7R9BB104,,Yageo,2280,,,,,,,,,,,,
,F1-S20S,,JAE,2477,,,,,,,,,,,,
,ERJ-2RKF2000X,,Panasonic,7757,,,,,,,,,,,,
,GRM033R61C333KE84D,,Murata,2855,,,,,,,,,,,,
,NLV32T-6R8J-PF,,TDK Corp,1446,,,,,,,,,,,,
,66925-007,,Amphenol Fci,1305,,,,,,,,,,,,
,293D474X9035B2TE3,,SPRAGUE,1160,,,,,,,,,,,,
,LF412CDR,,NSC,979,,,,,,,,,,,,
,NFE61PT361B1H9L,,Murata,572,,,,,,,,,,,,
,8101-0101-40,,LAIRD,554,,,,,,,,,,,,
,ERJ-2RKF1782X,,Panasonic,7798,,,,,,,,,,,,
,CRCW0603665KFKEA,,VISHAY/DAL,356,,,,,,,,,,,,
,S1B,,FAIRCHILD,5707,,,,,,,,,,,,
,RLF12545T-100M5R1-PF,,TDK Corp,311,,,,,,,,,,,,
,DW-18-09-G-S-465,,Samtec Inc,261,,,,,,,,,,,,
,C0603C821K5RACTU,,Kemet Electronics Corp,238,,,,,,,,,,,,
,C1206C475K4PAC7800,,Kemet Electronics Corp,7563,,,,,,,,,,,,
,330-050,,BIVAR,204,,,,,,,,,,,,
,C0603C103J1RACTU,,Kemet Electronics Corp,1602,,,,,,,,,,,,
,FMMT618TA,,DIODESINC,134,,,,,,,,,,,,
,RC0402FR-075K1L,,Yageo,946,,,,,,,,,,,,
,DCC-11,,CAPLUGS,124,,,,,,,,,,,,
,EX80-100P1(30),,Hirose Electric,249,,,,,,,,,,,,
,GRM188R71E105KA12D,,Murata,1301,,,,,,,,,,,,
,311-715HRCT-ND,,DIGIKEY,3933,,,,,,,,,,,,
,RC0603FR-0730RL,,Yageo,2984,,,,,,,,,,,,
,CR0805-8W-5621FT,,VENKEL,2876,,,,,,,,,,,,
,440360-2,,TE CONNECT,7,,,,,,,,,,,,
,MP3310EQ-LF-Z,,MPS,2791,,,,,,,,,,,,
,FP6736S5GTR,,FITIPOWER,729,,,,,,,,,,,,
,UKL1J150MED1TD,,NICHICON,43,,,,,,,,,,,,
,IPP50R140CPHKSA1,,Infineon,1138,,,,,,,,,,,,
,R413F16804000M,,Kemet Electronics Corp,3169,,,,,,,,,,,,
,C3216C0G2E223J160AA,,TDK Corp,1643,,,,,,,,,,,,
,7382-5608-30,,YAZAKI,90,,,,,,,,,,,,
,TCK-050,,TRACO,100,,,,,,,,,,,,
,B32529C8222K289,,EPCOS,2732,,,,,,,,,,,,
,ERA-3AEB2261V,,Panasonic,4941,,,,,,,,,,,,
,CGA5H3C0G2E103J115AA,,TDK Corp,1176,,,,,,,,,,,,
,CRCW1206100RFKEAHP,,VISHAY,7449,,,,,,,,,,,,
,ERJ-3EKF2491V,,Panasonic,2697,,,,,,,,,,,,
,MUR1660CTG,,ON,3945,,,,,,,,,,,,
,ATMEGA8A-PU,,ATMEL,177,,,,,,,,,,,,
,WSL2512R1000FEA,,VISHAY,4100,,,,,,,,,,,,
,PVA6RE24231,,E-SWITCH,315,,,,,,,,,,,,
,MC145193F,,MOTOROLA,357,,,,,,,,,,,,
,961-722512-000,,PARKER,44,,,,,,,,,,,,
,EGG.1B.302.CYM,,LEMO,72,,,,,,,,,,,,
,68402-315LF,,AMPHENOL,750,,,,,,,,,,,,
,YJP1608-R001,,SUSUMU,10000,,,,,,,,,,,,
,SRP4020TA-R10Y,,Bourns Inc,1288,,,,,,,,,,,,
,HC-49U/N-2.4576MHZ,,M-TRON,436,,,,,,,,,,,,
,WM8960CGEFL/V,,CIRRUSLOG,165,,,,,,,,,,,,
,PA0603-R-070RL,,Yageo,4875,,,,,,,,,,,,
,SCMR22L105SSBB0,,Avx Corp,100,,,,,,,,,,,,
,MAX6007BEUR-T,,Maxim Integrated,930,,,,,,,,,,,,
,ERM5-020-05.0-L-DV-TR,,Samtec Inc,100,,,,,,,,,,,,
,RJE59-188-54A1,,AMPHENOL,100,,,,,,,,,,,,
,SMTSO-M25-2ET,,PENNENG,1500,,,,,,,,,,,,
,ERF5-040-01-L-D-RA-TR,,Samtec Inc,50,,,,,,,,,,,,
,MAX11210EEE+T,,MAXIM-INT,109,,,,,,,,,,,,
,RN73H1JTTD1002F100,,KOASPEER,6600,,,,,,,,,,,,
,T1M-06-F-SH-L-K,,Samtec Inc,179,,,,,,,,,,,,
,HCJ1206ZT0R00,,STACKPOLE,2850,,,,,,,,,,,,
,TEM-110-02-03.0-H-D-L1-K-TR,,Samtec Inc,80,,,,,,,,,,,,
,RE0201BRE07191KL,,Yageo,10000,,,,,,,,,,,,
,EGG.1B.665.ZZM,,LEMO,153,,,,,,,,,,,,
,R3111H421A,,RICOH,992,,,,,,,,,,,,
,RN73R1JTTD1002F25,,KOASPEER,5800,,,,,,,,,,,,
,ERM5-030-02.0-L-DV-TR,,Samtec Inc,50,,,,,,,,,,,,
,ERF5-010-01-L-D-RA-TR,,Samtec Inc,50,,,,,,,,,,,,
,ERM5-010-02.0-L-DV-TR,,Samtec Inc,62,,,,,,,,,,,,
,T491C107M010AT,,Kemet Electronics Corp,500,,,,,,,,,,,,
,MAX6070AAUT18+T,,Maxim Integrated,105,,,,,,,,,,,,
,BMI-S-203-F,,LAIRD,119,,,,,,,,,,,,
,MSP430F5359IZQWT,,Texas Instruments,19,,,,,,,,,,,,
,LTC2051HVHS8#TRPBF,,ANALOG DEV,40,,,,,,,,,,,,
,T2M-110-01-L-D-RA-WT,,Samtec Inc,60,,,,,,,,,,,,
,LS2-115-01-F-D,,Samtec Inc,29,,,,,,,,,,,,
,LS2-110-01-F-D,,Samtec Inc,35,,,,,,,,,,,,
,C0603C471K4RACTU,,Kemet Electronics Corp,1250,,,,,,,,,,,,
,277LF-33.9075-2,,FOX,543,,,,,,,,,,,,
,VJ0201Y102JXACW1BC,,VISHAY,15000,,,,,,,,,,,,
,LT1460HCS3-3#TRMPBF,,ANALOG DEV,18,,,,,,,,,,,,
,174-1839-02U,,ADS,3,,,,,,,,,,,,
,60RF-JMCS-G-1B-TF(N)(LF)(SN),,Jst,46,,,,,,,,,,,,
,RN73H1JTTD2202F100,,KOASPEER,1000,,,,,,,,,,,,
,R82CC4220Z370J,,Kemet Electronics Corp,148,,,,,,,,,,,,
,LMZ21701SILT,,Texas Instruments,16,,,,,,,,,,,,
,U.FL-R-SMT-1(10),,Hirose Electric,57,,,,,,,,,,,,
,TPS22916CNYFPR,,Texas Instruments,370,,,,,,,,,,,,
,1SMB5932BT3G,,On Semiconductor,438,,,,,,,,,,,,
,GRM2195C1H103FA01D,,Murata,200,,,,,,,,,,,,
,RK73B2ETTD101J,,Koa Speer,3944,,,,,,,,,,,,
,"PMEG6010CEJ,115",,Nexperia,147,,,,,,,,,,,,
,AP22653FDZ-7,,Diodes Inc,150,,,,,,,,,,,,
,SMBJ5.0A,,Diodes Inc,546,,,,,,,,,,,,
,TPS25942ARVCR,,Texas Instruments,33,,,,,,,,,,,,
,60PS-JMCS-G-1B-TF(N)(LF)(SN),,Jst,28,,,,,,,,,,,,
,RN73H1JTTD1000F100,,KOASPEER,680,,,,,,,,,,,,
,150080M153000,,Wuerth Elektronik,168,,,,,,,,,,,,
,RN73H1ETTP1652F50,,KOASPEER,250,,,,,,,,,,,,
,40RF-JMCS-G-1B-TF(N)(LF)(SN),,Jst,25,,,,,,,,,,,,
,ERA-2AEB472X,,Panasonic,320,,,,,,,,,,,,
,CPF0603F100KC1,,TE CONNECT,1285,,,,,,,,,,,,
,04026D106MAT2A,,Avx Corp,148,,,,,,,,,,,,
,RCG040210K0FKED,,VISHAY,5460,,,,,,,,,,,,
,40PS-JMCS-G-1B-TF(N)(LF)(SN),,Jst,29,,,,,,,,,,,,
,RC0201FR-0720KL,,Yageo,257,,,,,,,,,,,,
,RN73H1JTTD1202F100,,KOASPEER,580,,,,,,,,,,,,
,SN74LV4051ARGYR,,Texas Instruments,106,,,,,,,,,,,,
,RN73H1JTTD4993F100,,KOASPEER,200,,,,,,,,,,,,
,RK73H1JTTD7503F,,Koa Speer,39501,,,,,,,,,,,,
,26604030,,Molex LLC,220,,,,,,,,,,,,
,LT1461CCS8-3#PBF,,ANALOG DEV,20,,,,,,,,,,,,
,CRT0603-FY-1003ELF,,Bourns Inc,450,,,,,,,,,,,,
,RN73H1JTTD4701F100,,KOA SPEER,500,,,,,,,,,,,,
,ISL8484IUZ,,Renesas,17,,,,,,,,,,,,
,ERA-2AEB4992X,,Panasonic,135,,,,,,,,,,,,
,RN73H1JTTD1001F100,,KOASPEER,240,,,,,,,,,,,,
,VJ0805Y104MXXAT,,VISHAY,200,,,,,,,,,,,,
,GRM033R61C123KE84D,,Murata,2059,,,,,,,,,,,,
,CPF0402B28KE1,,TE CONNECT,136,,,,,,,,,,,,
,C0603C104M4RACTU,,Kemet Electronics Corp,3375,,,,,,,,,,,,
,BMI-S-205-F,,LAIRD,22,,,,,,,,,,,,
,RN732ATTD7411D25,,Koa Speer,150,,,,,,,,,,,,
,MC0402B104K250CT,,MULTICOMP,7112,,,,,,,,,,,,
,CR0201-FW-1003GLF,,Bourns Inc,392,,,,,,,,,,,,
,02016D104KAT2A,,Avx Corp,3004,,,,,,,,,,,,
,UMK212BBJ475MG-T,,TAIYO YUDEN,250,,,,,,,,,,,,
,RN73H2BTTD1500F100,,KOASPEER,100,,,,,,,,,,,,
,AG306-050KG-XP1,,FUJIKURA,6,,,,,,,,,,,,
,RG1608N-3402-D-T5,,SUSUMU,100,,,,,,,,,,,,
,0603ZC392KAT2A,,Avx Corp,200,,,,,,,,,,,,
,BMI-S-205-C,,LAIRD,22,,,,,,,,,,,,
,CC0201KRX5R6BB104,,Yageo,2012,,,,,,,,,,,,
,RT0402BRD07191KL,,Yageo,248,,,,,,,,,,,,
,UMK316AB7475ML-T,,TAIYO YUDEN,140,,,,,,,,,,,,
,SN74LV4051APWR,,Texas Instruments,120,,,,,,,,,,,,
,RN73H1JTTD4702F100,,KOASPEER,150,,,,,,,,,,,,
,RN73H1JTTD2201F100,,KOASPEER,150,,,,,,,,,,,,
,RN73H1JTTD2003F100,,KOASPEER,280,,,,,,,,,,,,
,CRCW0201301KFKED,,VISHAY DALE,224,,,,,,,,,,,,
,DESD5V0U1BA-7,,Diodes Inc,350,,,,,,,,,,,,
,NLASB3157MTR2G,,On Semiconductor,120,,,,,,,,,,,,
,08052A151JAT2A,,Avx Corp,152,,,,,,,,,,,,
,C0402C100C8GACTU,,Kemet Electronics Corp,114,,,,,,,,,,,,
,CPF0603F78K7C1,,TE CONNECT,300,,,,,,,,,,,,
,CPF0603F73K2C1,,TE CONNECT,300,,,,,,,,,,,,
,RCG0402499RFKED,,VISHAY,800,,,,,,,,,,,,
,C0805C106K3PAC7800,,VISHAY/DAL,269,,,,,,,,,,,,
,C0603C475K9PAC7411,,Kemet Electronics Corp,562,,,,,,,,,,,,
,GRM21BR61E106MA73L,,Murata,250,,,,,,,,,,,,
,CBR04C479C5GAC,,Kemet Electronics Corp,767,,,,,,,,,,,,
,C0805C101K5GACTU,,Kemet Electronics Corp,886,,,,,,,,,,,,
,"NX3L4357GM,115",,NXP Semiconductor,25,,,,,,,,,,,,
,RCG04021M00FKED,,VISHAY,550,,,,,,,,,,,,
,CRCW020142K2FKED,,VISHAY DALE,235,,,,,,,,,,,,
,RN73H1JTTD1211F100,,KOASPEER,100,,,,,,,,,,,,
,RNCP0603FTD20K0,,STACKPOLE,550,,,,,,,,,,,,
,RG1608P-181-D-T5,,SUSUMU,200,,,,,,,,,,,,
,54202-S0807LF,,AMPHENOL,37,,,,,,,,,,,,
,GRM0335C1H3R9BA01D,,Murata,2034,,,,,,,,,,,,
,RK73H1JTTD3652F,,Koa Speer,4985,,,,,,,,,,,,
,PFR03S-101-FNH,,DELTA ELEC,229,,,,,,,,,,,,
,AP2204K-5.0TRG1,,DIODESINC,81,,,,,,,,,,,,
,CR321023FT,,Avx Corp,968,,,,,,,,,,,,
,RT0402BRD0720KL,,Yageo,50,,,,,,,,,,,,
,C0201C103K4PACTU,,Kemet Electronics Corp,380,,,,,,,,,,,,
,CIGT252010EH2R2MNE,,Samsung,73,,,,,,,,,,,,
,C0603C225K9PACTU,,Kemet Electronics Corp,140,,,,,,,,,,,,
,C0402C120D5GACTU,,Kemet Electronics Corp,100,,,,,,,,,,,,
,"PMEG1030EJ,115",,Nexperia,37,,,,,,,,,,,,
,RCG040220K0FKED,,VISHAY/DAL,370,,,,,,,,,,,,
,RR0816P-1243-D-10D,,SUSUMU,280,,,,,,,,,,,,
,RR0816P-204-D,,SUSUMU,280,,,,,,,,,,,,
,C0201C100K8GACTU,,Kemet Electronics Corp,233,,,,,,,,,,,,
,RNCF0603DTE3K32,,STACKPOLE,200,,,,,,,,,,,,
,GCM155R71C104KA55J,,Murata,250,,,,,,,,,,,,
,04025C121KAT2A,,Avx Corp,523,,,,,,,,,,,,
,06033C103KAT4A,,Avx Corp,150,,,,,,,,,,,,
,JMK105BJ334KV-F,,TAIYO YUDE,286,,,,,,,,,,,,
,GRM033R71H101KA12D,,Murata,349,,,,,,,,,,,,
,08052A221JAT2A,,Avx Corp,58,,,,,,,,,,,,
