emailId,mpn,qty,price,dc,vendor_email,vendor_name,vendor_search_key,rfq_number,notes,mfr,currency,moq,spq,packaging,lead_time,coo,rohs
2239,FSM4JSMATR,3925,0.1,,julia.wu@ultrontech.co.uk,Ultron Tech,NOT_FOUND,1130292,,,USD,,,,,,
3667,NTCS0603E3103FHT,9000,0.25,1921,ben@vectr.global,Vectr Limited,NOT_FOUND,1130292,,,USD,,,,,,
5733,4-1437565-2,3000,0.13,,Quotes@Jameco.com,Jameco Electronics,NOT_FOUND,1130292,,,USD,,,,,,
5734,0251002.MRT1L,1300,0.32,06,stock-us@cyclops-group.com,Lantek Corporation,NOT_FOUND,1130292,,,USD,,,,,,
5735,TPS73801DCQR,1699,0.84,16/17/18,stock-us@cyclops-group.com,Lantek Corporation,NOT_FOUND,1130292,,,USD,,,,,,
5738,PCL037-0,2,1.8,,hicks@standardsupply.com,Standard Supply Electronics,NOT_FOUND,1130292,,,USD,,,,,,
6804,TG110-S050N2RLTR,725,2.37,09+,sales@eurodis.nu,Eurodis Components,NOT_FOUND,1130292,,,USD,,,,,,
6805,ISO7740DWR,1200,1,,b.isikgoz@koel.com.tr,KOEL,NOT_FOUND,1130292,,,USD,,,,,,
6836,MSP430F149IPM,119,10.34,02+,sales@eurodis.nu,Eurodis Components,NOT_FOUND,1130350,,,USD,,,,,,
6838,BCM5221A4KPTG,827,17.72,08+,sales@eurodis.nu,Eurodis Components,NOT_FOUND,1130350,,,USD,,,,,,
6842,BCP53-16TX,26000,0.22,17+,philip.humphrey@vantageairsupport.com,Vantage IC LLC,NOT_FOUND,1130292,,,USD,,,,,,
6844,BCP53-16TX,26000,0.22,17+,philip.humphrey@vantageairsupport.com,Vantage IC,NOT_FOUND,1130292,,,USD,,,,,,
6860,TPS63020DSJR,5000,0.68,,excess@vital.global,Vital Electronics Ltd,NOT_FOUND,1130462,,,USD,,,,,,
6863,ADS1115IDGSR,1868,1.03,,anna.sandri@eas.it,EAS S.p.A.,NOT_FOUND,1130462,,,USD,,,,,,
6900,ISO7742DWR,9900,1.81,,sales@componentsearch.com,Component Search,NOT_FOUND,1130292,,,USD,,,,,,
6907,P600M-E3/54,4000,0.6,,info@devran.com.tr,Devran Elektronik,NOT_FOUND,1128746,,,USD,,,,,,
6912,SM24CANB02HTG,3000,0.05,1720,info@demotronic.de,demotronic GmbH,NOT_FOUND,1130292,,,USD,,,,,,
6914,P600M-E3/54,800,0.35,17+,info@ame-gmbh.de,AME GmbH,NOT_FOUND,1128746,,,USD,,,,,,
6916,ISO7742DWR,1500,1.32,2242,sales@rifinvestments.com,RIF Investments,NOT_FOUND,1130292,,,USD,,,,,,
6921,VS-80CPQ150-N3,175,1.35,22,sales@danmarcomponents.com,Dan-Mar Components,NOT_FOUND,1130292,,,USD,,,,,,
6922,NTCS0603E3103FHT,4000,0.15,1931,sales@danmarcomponents.com,Dan-Mar Components,NOT_FOUND,1130292,,,USD,,,,,,
6923,NUP2105LT1G,2541,0.05,21,sales@dotcomps.com,Dot Comps Electronics,NOT_FOUND,1130292,,,USD,,,,,,
6930,B82793S513N201Z97,9000,0.3,21+,sales@tomarkelectronics.com,Tomark Electronics,NOT_FOUND,1130292,,,USD,,,,,,
6931,ISO7742DWR,1500,1.32,2242,laura@rif.investments,RIF Investments,NOT_FOUND,1130292,,,USD,,,,,,
6932,BAT54S-7-F,28992,0.034,22+,sales@partner4chips.com,Partner4Chips,NOT_FOUND,1128746,,,USD,,,,,,
6936,B72510E300K62,4100,0.05,14,info@hzd-gmbh.de,HZD GmbH,NOT_FOUND,1130292,,,USD,,,,,,
6938,HCF4093M013TR,14980,0.08,,info@bsr-elektronik.de,BSR-elektronik,NOT_FOUND,1130292,,,USD,,,,,,
6951,BCP53-16TX,26000,0.29,18+,philip.humphrey@vantageairsupport.com,Vantage IC LLC,NOT_FOUND,1130577,,,USD,,,,,,
6962,MPZ2012S101AT000,3860,0.06,1025,orderdesk@components.se,ECAB,NOT_FOUND,1130292,,,USD,,,,,,
6975,LM2585S-5.0/NOPB,270,5.7,0824,info@chipdistribution.com,Euro Chip Distribution,NOT_FOUND,1130292,,,USD,,,,,,
6984,MAX3086ESD+,100,3.72,,anna.sandri@eas.it,EAS S.p.A.,NOT_FOUND,NOT_FOUND,,,USD,,,,,,
6996,SM24CANB-02HTG,50,0.65,2023+,iuliana.vlad@euroconnectors.de,Lacon Electronic GmbH,NOT_FOUND,1130292,,,USD,,,,,,
7038,ADUM4400BRWZ,2,50.00,,jack@jc-electronics.net,JC Electronics,NOT_FOUND,1130577,,,USD,,,,,,
