Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,1SS355TE-17,,Rohm Co Ltd,49,,US2507210000013;HK-EXCESS05,,,,Diode BAS216&1SS355 SOD-110,,,,1,,
,A3988SEVTR-T,,Allegro Microsystems LLC,927,,US2501290000062;HK-EXCESS04,,,,IC INTFC MOT DRVR QUAD FULL BR,,,,,,
,ACPL-M61L-500E,,Avago Technologies,79,,US2501290000073;HK-EXCESS03,,,,High Speed Optocouplers 10MBd 15k V/us,,,,,,
,ACS71240KEXBLT-010B3,,Allegro Microsystems LLC,1000,,US2409230000051;HK-EXCESS06,,,,SENSOR CURRENT HALL 10A 12PWRQFN,,,,,,
,ACT1210L-101-2P-TL00,,TDK Corp,1000,,US2402290000005;HK-EXCESS02,,,,CMC 100UH 150MA 2LN SMD AEC-Q200,,,,,,
,AD734SQ/883B,,Analog Devices Inc,165,,US2501290000067;HK-EXCESS04,,,,IC MULT/DIV 4-QUANDRANT 14CERDIP,,,,,,
,ADP7112ACBZ-1.2-R7,,Analog Devices Inc,1306,,US2406250000012;HK-EXCESS02,,,,IC REG LIN POS ADJ 200MA 6WLCSP,,,,,,
,AISC-0805-R56G-T,,Abracon,4000,,US2501260000011;HK-EXCESS06,,,,RF Inductors - SMD FIXED IND 560NH,,,,0.048,,
,AM3703CUS,,Texas Instruments,547,,US2501290000052;HK-HOLDLOT,,,,IC MPU SITARA 800MHZ 423FCBGA,,,,,,
,AP7383-33Y-13,,Diodes Inc,500,,US2409180000050;HK-EXCESS03,,,,DIODES INC. - AP7383-33Y-13 - LDO Voltag,,,,,,
,AQR107A-B0-EG-Y,,Not Known Yet,1110,,US2401120000007;HK-LOTBIDEXCESS,,,,AQR107A-B0-EG-Y,,,,,,
,AR02BTC3321,,Not Known Yet,5434,,US2401120000010;HK-LOTBIDEXCESS,,,,AR02BTC3321,,,,,,
,AR02BTC9761,,Viking Connectors,6673,,US2401120000006;HK-LOTBIDEXCESS,,,,AR02BTC9761,,,,,,
,AR02BTCX2911,,Not Known Yet,9883,,US2401120000008;HK-LOTBIDEXCESS,,,,AR02BTCX2911,,,,,,
,AT24C01D-SSHM-T,,Microchip Technology Inc,44000,,US2501290000039;HK-EXCESS01,,,,IC EEPROM 1KBIT I2C 1MHZ 8SOIC,,,,,,
,AT73C507-M4UR730,,Microchip Technology Inc,6000,,US2501290000041;HK-EXCESS04,,,,Processors - Application Specialised 10G,,,,,,
,B340-13-F,,Diodes Inc,6000,,US2501290000064;HK-EXCESS03,,,,DIODE SCHOTTKY 40V 3A SMC,,,,,,
,BSS138,,On Semiconductor,994,,US2211170000025;HK-EXCESS03,,,,MOSFET N-CH 50V 220MA SOT23-3,,,,,,
,BSS138,,On Semiconductor,1000,,US2501290000076;HK-EXCESS03,,,,MOSFET N-CH 50V 220MA SOT23-3,,,,,,
,BSS138,,On Semiconductor,3,,US2501290000078;HK-EXCESS03,,,,MOSFET N-CH 50V 220MA SOT23-3,,,,,,
