Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,BZV55-C8V2,,Nexperia,109995,,US2602010000002;HK-G03,,"2133, 2138, 2151, 2239, 2241",,DIODE ZENER 8.2V 500MW LLDS,,,,0.03,,
,BZX384C5V1-HG3-A08,,Vishay Semiconductors,14749,,US2602260000003;1018,,2544,,Diode Zener 5.1V 300mW 5% SOD-323,,,,0.075,,
,BZX84B12,,Nexperia,2400,,US2511250000003;HK-D03,,"2313, 2428",,DIODE ZENER 12V 300MW SOT23-3,,,,0.0635,,
,BZX84C18Q-7-F,,Diodes Incorporated,180000,,US2512180000057;HK-C04,,2528 / 2529,,DIODE ZENER 18V 300MW SOT23,,,,0.0135,,
,BZX884B18L-G3-08,,Vishay,9998,,US2603010000007;HK-A05,,"2133, 2328",,DIODES ZENER DFN1006-2A .3W18V,,,,0.044,,
,C3216X5R1E476M160AC,,TDK Corp,25000,,US2603050000007;HK-G02,,2608 / 2609,,CAP-FXD 47UF +-20% 25V CER X5R,,,,0.093,,
,C3216X5R1E476M160AC,,TDK Corp,25000,,US2603050000006;HK-G02,,2608 / 2609,,CAP-FXD 47UF +-20% 25V CER X5R,,,,0.093,,
,CARRIAGE,,Charge,1,,US2602100000036;QC INSPECT,,,,CARRIAGE,,,,30,,
,CARRIAGE,,Charge,1,,US2602200000003;QC INSPECT,,,,CARRIAGE,,,,30,,
,CAT4106HV4-GT2,,On Semiconductor,1999,,US2503180000002;HK-E02,,2430,,IC INTRFC DRIVER QFN-SLDR17,,,,4,,
,CAT4106HV4-GT2,,On Semiconductor,8000,,US2509020000002;HK-F01,,2430,,IC INTRFC DRIVER QFN-SLDR17,,,,4,,
,CC2564MODNCMOER,,Texas Instruments,2000,,US2509040000004;HK-D03,,2524,,"3 BLUETOOTH MODULE,V4.1 (BLE),AUTO,33-PI",,,,3.3,,
,CM3440Z171R-10,,Laird Technologies Inc,8250,,US2504160000007;HK-PALLET4,,2513,,CMC 20A 2LN 170 OHM SMD,,,,0.265,,
,CS5532-BSZR,,Cirrus Logic,500,,US2507160000003;HK-B02,,,,IC ADC 24BIT SIGMA-DELTA 20SSOP,,,,4.85,,
,CS5532-BSZR,,Cirrus Logic,500,,US2507160000002;HK-B02,,,,IC ADC 24BIT SIGMA-DELTA 20SSOP,,,,4.85,,
,CS82TPCF SLJ42,,Intel Corp,4501,,US2509220000010;HK-F01,,"2124, 2128, 2130",,"PCI BUS CONTROLLER, CMOS, PBGA376",,,,9,,
,CSPSLC5V0AE-TP,,Micro Commercial,60000,,US2512080000011;HK-G01,,2536 / 2538,,TVS DIODE 5VWM 20VC CSP0201,,,,0.011,,
,CSPSLC5V0AE-TP,,Micro Commercial,50000,,US2512080000012;HK-G01,,2536 / 2538,,TVS DIODE 5VWM 20VC CSP0201,,,,0.011,,
,CSPSLC5V0AE-TP,,Micro Commercial,30000,,US2512080000013;HK-G01,,2536 / 2538,,TVS DIODE 5VWM 20VC CSP0201,,,,0.011,,
,CT80618005844AB SLJ36,,Intel Corp,7500,,US2509100000007;HK-J02,,2051,,CT80618005844AB SLJ36,,,,10.6,,
,CY22393FXIT,,Cypress,1100,,US2603080000023;QC INSPECT,,,,IC CLOCK GENERATOR 16TSSOP,,,,5.05,,
,CY7C1061G3010ZSXIT,,Cypress,512,,US2510260000005;HK-G01,,2331,,IC SRAM 16MBIT PAR 54TSOP II,,,,13.28458,,
,DF40C-20DP-0.4V(51),,Hirose Electric Co Ltd,10000,,US2601300000005;HK-F04,,,,20POS; 0.4MM; SMD; GOLD,,,,0.122,,
,DF40C-20DP-0.4V(51),,Hirose Electric Co Ltd,10000,,US2601300000006;HK-F04,,,,20POS; 0.4MM; SMD; GOLD,,,,0.122,,
,DF40C-30DP-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000013;QC INSPECT,,,,30POS ;0.4MM; SMD; GOLD,,,,0.146,,
,DF40C-30DP-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000014;QC INSPECT,,,,30POS ;0.4MM; SMD; GOLD,,,,0.146,,
,DF40C-30DP-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000012;QC INSPECT,,,,30POS ;0.4MM; SMD; GOLD,,,,0.146,,
,DF40C-30DP-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000011;QC INSPECT,,,,30POS ;0.4MM; SMD; GOLD,,,,0.146,,
,DF40C-30DS-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000015;QC INSPECT,,,,CONN RCPT 30POS SMD GOLD,,,,0.154,,
,DF40C-30DS-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000016;QC INSPECT,,,,CONN RCPT 30POS SMD GOLD,,,,0.154,,
,DF40C-30DS-0.4V(51),,Hirose Electric Co Ltd,5000,,US2603080000017;QC INSPECT,,,,CONN RCPT 30POS SMD GOLD,,,,0.154,,
,DG441DY-T1-E3,,Vishay Intertechnology Inc,600,,US2603040000015;HK-F01,,2547,,IC SWITCH QUAD SPST 16SOIC,,,,0.57,,
,DLW21SN371SQ2L,,Murata,12000,,US2511140000004;HK-F02,,2544,,CMC 280MA 2LN 370 OHM SMD,,,,0.02684,,
,DP83822IFRHBR,,Texas Instruments,2997,,US2601150000013;HK-B01,,2535,,IC INTERFACE SPECIALIZED 32VQFN,,,,0.82,,
,DP83848IVVX/NOPB,,Texas Instruments,4000,,US2602260000009;QC INSPECT,,,,IC TRANSCEIVER 1/1 48LQFP,,,,0.4,,
,DS1804U-010+,,Maxim Integrated Products Inc,848,,US2509040000006;HK-B05,,2213,,IC DGTL POT 10KOHM 100TAP 8UMAX,,,,1.89,,
,DS1804U-010+,,Maxim Integrated Products Inc,500,,US2507040000002;HK-D04,,,,IC DGTL POT 10KOHM 100TAP 8UMAX,,,,2.88,,
,DS2502R+T&R,,Maxim Integrated Products Inc,3000,,US2602240000007;HK-A04,,,,1K SERIAL EPROM SMT SOT23,,,,0.42,,
,DS2502R+T&R,,Maxim Integrated Products Inc,3000,,US2602240000008;HK-A04,,,,1K SERIAL EPROM SMT SOT23,,,,0.42,,
,DSPIC30F6012A-30I/PT,,MicroChip,160,,US2601300000011;HK-F02,,2352,,"^1/3^ PIC30F6012,MCU/DSP,144K,TQFP-64",,,,5.76,,
,DSPIC30F6012A-30I/PT,,MicroChip,159,,US2512290000008;HK-D03,,2339,,"^1/3^ PIC30F6012,MCU/DSP,144K,TQFP-64",,,,5.45,,
,DSPIC30F6012A-30I/PT,,MicroChip,160,,US2511240000006;HK-A02,,2352,,"^1/3^ PIC30F6012,MCU/DSP,144K,TQFP-64",,,,5.37,,
,E683595,,Elo Touch Solutions,3,,US2603030000009;1018,,2540,,"DISPLAY LCD 13""FHD PCAP-TS",,,,460,,
,ECQUBAF104V2,,Panasonic,500,,US2507060000001;HK-B04,,2401,,"C-FILM,1UF,300V,20%,DIP",,,,0.3958,,
,EEHZC1H101P,,Panasonic,15000,,US2511170000036;HK-G01,,2535 / 2540,,CAP ALUMHYB 100UF 20% 50V SMD,,,,0.205,,
,EP2AGX190FF35C5G,,Intel Corp,78,,US2503170000002;HK-A02,,2331,,IC FPGA 612 I/O 1152FBGA,,,,90,,
,EP2AGX260FF35I3NAA,,Intel Corp,24,,US2511030000020;HK-E01,,2119,,IC ARRIAII 0.9V FBGA1152 R,,,,90,,
,EP2AGX45DF29C6G,,Intel Corp,755,,US2510280000004;HK-I03,,"2207, 2231",,IC FPGA PLD BGA780,,,,46.5,,
,EP2AGX45DF29C6G,,Intel Corp,1,,US2511280000005;HK-I03,,,,IC FPGA PLD BGA780,,,,221.5,,
,EP2AGX65DF29C4G,,Intel Corp,144,,US2511200000002;HK-C02,,2331,,IC FPGA 364 I/O 780FBGA,,,,98,,
,EP2AGX65DF29C4G,,Intel Corp,179,,US2601180000027;HK-F01,,2331,,IC FPGA 364 I/O 780FBGA,,,,98,,
,EP2AGX65DF29C6G,,Intel Corp,360,,US2512140000010;HK-I01,,2307,,FPGA - Field Programmable Gate Array FPG,,,,80,,
,EP2AGX65DF29C6G,,Intel Corp,540,,US2602260000004;QC INSPECT,,,,FPGA - Field Programmable Gate Array FPG,,,,80,,
,EP2AGX95EF29C6G,,Intel Corp,647,,US2512040000030;HK-D01,,2325,,IC FPGA 372 I/O 780FBGA,,,,80,,
,EP2AGX95EF35C4G,,Intel Corp,600,,US2603050000011;QC INSPECT,,,,FPGA Arria® II GX Family 89178 Cells 500,,,,135,,
,EP2AGX95EF35C4G,,Intel Corp,1439,,US2602040000001;HK-G02,,2434,,FPGA Arria® II GX Family 89178 Cells 500,,,,135,,
,EP2AGX95EF35C4G,,Intel Corp,240,,US2512190000003;HK-D02,,2343,,FPGA Arria® II GX Family 89178 Cells 500,,,,135,,
,EP2AGX95EF35C4G,,Intel Corp,8,,US2503070000005;HK-E03,,2337,,FPGA Arria® II GX Family 89178 Cells 500,,,,100,,
,EPCQ64ASI16N,,Intel Corp,272,,US2510090000040;HK-D04,,2504,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,8.6,,
,EPCQ64ASI16N,,Intel Corp,300,,US2510090000039;HK-D04,,2504,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,8.6,,
,EPCQ64ASI16N,,Intel Corp,300,,US2510090000038;HK-D04,,2504,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,8.6,,
,EPCQ64ASI16N,,Intel Corp,264,,US2508070000002;HK-B01,,2504,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,8.7,,
,EPCQ64ASI16N,,Intel Corp,77,,US2507310000023;HK-B04,,,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,12.6,,
,EPCQ64ASI16N,,Intel Corp,1284,,US2504250000012;HK-B04,,2504,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,8.7,,
,EPCQ64ASI16N,,Intel Corp,78,,US2412300000005;HK-G02,,2424,,IC CONFIG DEVICE 64MBIT 16SOIC,,,,9.16985,,
,EPM570F256C5N,,Altera,538,,US2512300000022;HK-B03,,2225,,Complex Programmable Logic Devices CPLD,,,,5.3,,
,EPM7064SLC44-10N,,Altera,6240,,US2407080000002;HK-A01,,1731,,"IC, PROGRAMMED (program with TE-1638 sof",,,,2.25,,
,ESH107M050AG3KA,,Kemet Electronics Corp,15000,,US2507020000001;HK-PALLET5,,2505,,CAP ALUM RAD 105C,,,,0.052,,
,ESP876_TFBGA248,,Etron,500,,US2512300000001;HK-G02,,20+,,IC RF TXRX+MCU BLE 24QFN,,,,24.138,,
,FAN7382MX,,On Semiconductor,3000,,US2512290000009;1018,,2526,,"IC,GATE,DRVR,HALF-BRIDGE,8SOIC",,,,0.34,,
,FAN7382MX,,On Semiconductor,3000,,US2512290000010;HK-C01,,2526,,"IC,GATE,DRVR,HALF-BRIDGE,8SOIC",,,,0.34,,
,FAN7382MX,,On Semiconductor,3000,,US2512290000011;HK-C01,,2526,,"IC,GATE,DRVR,HALF-BRIDGE,8SOIC",,,,0.34,,
,FAN7382MX,,On Semiconductor,3000,,US2602020000010;HK-F03,,2527,,"IC,GATE,DRVR,HALF-BRIDGE,8SOIC",,,,0.34,,
,FAN7382MX,,On Semiconductor,3000,,US2602020000011;HK-F03,,2527,,"IC,GATE,DRVR,HALF-BRIDGE,8SOIC",,,,0.34,,
,FCH072N60F,,On Semiconductor,450,,US2512180000013;HK-D01,,,,"MOSFET, N-CH, 600V, 52A, TO-247-3",,,,1.42,,
,FCH072N60F,,On Semiconductor,450,,US2512180000014;HK-D01,,,,"MOSFET, N-CH, 600V, 52A, TO-247-3",,,,1.42,,
,FCH072N60F,,On Semiconductor,450,,US2512180000015;HK-D01,,,,"MOSFET, N-CH, 600V, 52A, TO-247-3",,,,1.42,,
,FPF1009,,On Semiconductor,2999,,US2412030000040;HK-A02,,,,MICROCIRCUIT,,,,0.92,,
,FR014H5JZ,,On Semiconductor,1003,,US2603040000021;QC INSPECT,,,,"ESD PROTECTION DEVICE, 3V, WDFN-8",,,,11.73,,
,FREIGHT CHARGE,,Charge,1,,US2602110000005;QC INSPECT,,,,Freight Charge,,,,1020.8,,
,G104X1-L04,,Innolux,26,,US2502190000031;HK-PALLET4,,2245,,104 TFT with LED backlight LED Epistar A,,,,110,,
,G104X1-L04,,Innolux,100,,US2502190000032;HK-PALLET4,,2245,,104 TFT with LED backlight LED Epistar A,,,,110,,
,GN9657001,,Osco,1056,,US2502050000005;0006E,,,,"GE GRID PART GN9657001, OSCO PART BXT320",,,,,,
,GSOT03C-E3-08,,Vishay,75000,,US2507020000028;HK-E02,,"2510, 2511",,ESD Suppressor TVS Bi-Dir 3.3V 3-Pin SOT,,,,0.035,,
,H1102NLT,,Pulse Electronics Corp,3600,,US2508280000026;HK-G02,,2405,,XFMR PULSE 10/100-BT SURFACE 2,,,,0.15,,
,H1102NLT,,Pulse Electronics Corp,3600,,US2510270000016;HK-B05,,2405,,XFMR PULSE 10/100-BT SURFACE 2,,,,0.15,,
,H1102NLT,,Pulse Electronics Corp,3599,,US2511270000010;HK-PALLET2,,2409,,XFMR PULSE 10/100-BT SURFACE 2,,,,0.15,,
,HCNW3120-000E,,Broadcom Inc,420,,US2511200000004;HK-J03,,,,OPTOISO 5KV 1CH GATE DRIVER 8DIP,,,,0.92,,
,HCPL-0631-500E,,Avago Technologies,2999,,US2512080000014;HK-F01,,2532,,OPTOISO 3.75KV 2CH OPEN COLL 8SO,,,,0.54,,
,HCPL-063L-500E,,Avago Technologies,1499,,US2511270000008;HK-B03,,2522,,IC OPTO HCPL-0631 SO8 R,,,,0.55,,
,HCPL-063L-500E,,Avago Technologies,1500,,US2511270000009;HK-B03,,2522,,IC OPTO HCPL-0631 SO8 R,,,,0.55,,
,HCPL-2232-500E,,Broadcom Inc,999,,US2601190000219;HK-D04,,2510,,IC OP/CPLR 4.5V TO 20V G254P-8,,,,1.6,,
,HCPL-2232-500E,,Broadcom Inc,999,,US2509160000006;HK-C05,,2510,,IC OP/CPLR 4.5V TO 20V G254P-8,,,,1.6,,
,HCPL-2631-500E,,Avago Technologies,17988,,US2601150000012;QC INSPECT,,,,OPTOISO 3.75KV 2CH OPN COLL 8DIP,,,,0.48,,
,HD64F2318VTE25V,,RENESAS TECHNOLOGY EUROPE,449,,US2603020000007;QC INSPECT,,,,"Microcontroller,16-Bit,FLASH",,,,51,,
,HFBR-1414TZ,,Avago Technologies,1497,,US2601020000003;HK-D05,,2522,,XMITTER FIBER OPTIC 820NM,,,,6.25,,
,HMA84GR7DJR4N-XN,,Hynix,100,,US2603080000019;QC INSPECT,,,,DDR4 SDRAM 32GB 4G x 72 1.14V - 1.26V 1.,,,,486,,
,HMA84GR7DJR4N-XN,,Hynix,205,,US2603090000001;QC INSPECT,,,,DDR4 SDRAM 32GB 4G x 72 1.14V - 1.26V 1.,,,,450,,
,HMA84GR7DJR4N-XN,,Hynix,180,,US2603090000002;QC INSPECT,,,,DDR4 SDRAM 32GB 4G x 72 1.14V - 1.26V 1.,,,,450,,
,HMAA8GR7CJR4N-XN,,Hynix,1,,US2602260000044;QC INSPECT,,,,64GB DDR4-3200 REGISTERED ECC,,,,800,,
,HMAG78EXNRA,,Hynix,207,,US2603050000016;QC INSPECT,,,,DDR4 SDRAM 16GB 1.6GHz,,,,216,,
,HMAG78EXNRA,,Hynix,2,,US2602150000006;QC INSPECT,,22+,,DDR4 SDRAM 16GB 1.6GHz,,,,174.82,,
,HMC1118LP3DETR,,Analog Devices Inc,4998,,US2510270000018;HK-E01,,"2509, 2514",,IC SW RF SPDT 18DB,,,,2.58,,
,HMC1118LP3DETR,,Analog Devices Inc,5000,,US2510270000019;HK-E01,,"2509, 2514",,IC SW RF SPDT 18DB,,,,2.58,,
,HMC1118LP3DETR,,Analog Devices Inc,2999,,US2512160000040;HK-I02,,2513,,IC SW RF SPDT 18DB,,,,2.44,,
,HMC1118LP3DETR,,Analog Devices Inc,6999,,US2512170000037;HK-I02,,2513,,IC SW RF SPDT 18DB,,,,2.44,,
,HMC1118LP3DETR,,Analog Devices Inc,3000,,US2512300000005;HK-D04,,2513,,IC SW RF SPDT 18DB,,,,2.44,,
,HMC1118LP3DETR,,Analog Devices Inc,1996,,US2512300000062;HK-D04,,"2508, 2511, 2514, 2517",,IC SW RF SPDT 18DB,,,,2.44,,
,HMC967LP4ETR,,Analog Devices Inc,2,,US2602240000023;QC INSPECT,,"1427,1452",,IC MMIC IQ DOWNCONVERTER 24QFN,,,,23.18,,
,IM4G16D3FDBG-107I,,Intelligent Memory Ltd,2090,,US2512040000023;HK-D02,,2526,,"DDR3 4GB, 1.35V/1.5V, 256MX16, 9",,,,2,,
,INA128UA/2K5,,Texas Instruments,1000,,US2603020000011;HK-D03,,2504,,IC E-MMC FLASH 4GB MLC 2V7-3V6,,,,0.605,,
,INA219AIDR,,Texas Instruments,29998,,US2601070000008;HK-F03,,"2050, 2101",,IC CURRENT MONITOR 1% 8SOIC,,,,0.28,,
,IR3584MTRPBF,,International Rectifier,499,,US2602260000010;HK-A05,,2137,,"ICS, DUAL OUTPUT SWITCHING CONTROLLER WI",,,,0.572,,
,IRF8707TRPBF,,Infineon,1499,,US2512140000011;HK-D02,,2010,,XSTR FET 1 GATE MOSFET N-CHANN,,,,0.19,,
,IS25LP032D-JBLE-TR,,Issi,1000,,US2511130000010;HK-B04,,2245,,IC MEM FLASH NOR 32MB 4MX8 133MHZ SPI I/,,,,0.1802,,
,IS25LP032D-JNLE-TR,,Issi,3000,,US2603020000016;QC INSPECT,,,,IC FLASH 32MBIT SPI/QUAD 8SOP,,,,0.554,,
,ISL55002IBZ-T7,,Renesas Electronics Corp,1860,,US2601070000015;HK-B04,,"2509,2515",,"OPAMP, 200MHZ, -40 TO 85DEG C",,,,4.1,,
,ISO1050DUBR,,Texas Instruments,1400,,US2512090000018;HK-E01,,2540,,IC TRANSCEIVER HALF 1/1 8SOP,,,,0.218,,
,ISO7221CDR,,Texas Instruments,7500,,US2510130000032;HK-D05,,"2431, 2433",,DGTL ISO 2500VRMS 2CH GP 8SOIC,,,,0.44,,
,ISO7321CDR,,Texas Instruments Incorporated,2500,,US2603040000020;QC INSPECT,,,,"IC,Digital Isolator,SOIC-8 Pacakge",,,,0.705,,
,K4A4G085WG-BCWE,,Samsung,339,,US2603040000022;QC INSPECT,,"2349, 2352",,SDRAM - DDR4 4Gbit 512M x 8 1.6GHz,,,,9.86,,
,K-LD2-FLK-00H-01,,RF Beam,4500,,US2505060000009;HK-PALLET1,,,,K-LD2-FLK-00H-01,,,,14.29,,
,K-LD2-FLK-00H-01,,RF Beam,1500,,US2505260000013;HK-PALLET1,,25+,,K-LD2-FLK-00H-01,,,,14.29,,
,K-LD2-FLK-00H-01,,RF Beam,7500,,US2507020000002;HK-PALLET7,,2521,,K-LD2-FLK-00H-01,,,,14.29,,
,K-LD2-FLK-00H-01,,RF Beam,7500,,US2507170000034;HK-PALLET7,,"2522, 2525, 2526",,K-LD2-FLK-00H-01,,,,14.29,,
,KLM8G1GETF-B041,,Samsung,1120,,US2506270000004;HK-D03,,2516,,"FLASH, 8GX8, 64GB X 1, PBGA153",,,,3.75,,
,KT11P4SA1M34LFS,,C&K Switches,2400,,US2601300000007;HK-D04,,,,SWITCH TACTILE SPST-NO 1VA 32V,,,,0.69,,
,LCMXO3LF9400C5BG256I,,Lattice Semiconductor Corp,60,,US2603080000024;QC INSPECT,,,,LCMXO3LF9400C5BG256I,,,,22.65,,
,LIS2DH12TR,,ST Micrelectronics,8000,,US2511260000006;HK-G03,,2532,,ACCEL 2-16G I2C/SPI 12LGA,,,,0.205,,
,LIS2DH12TR,,ST Micrelectronics,16000,,US2511190000038;HK-E03,,2533,,ACCEL 2-16G I2C/SPI 12LGA,,,,0.205,,
,LM13700MX/NOPB,,Texas Instruments,5000,,US2602060000002;HK-B02,,,,IC OPAMP TRANSCOND 2 CIRC 16SOIC,,,,0.22,,
,LM22672MRX-ADJ/NOPB,,Texas Instruments,5000,,US2602060000003;HK-B03,,,,Conv DC-DC 4.5V to 42V Synchronous Step,,,,0.724,,
