RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Quotable,Floor GP,Floor Margin,RFQ Target,RFQ Qty,CT GP,CT Margin,RFQ MPN,RFQ Created,RFQ Customer,Days Btw VQ & RFQ,RFQ Manufacturer,Confidence Tier,Alt VQ Sources
1113236,10AX090H4F34E3SG,0.2638,VQ,,,,10AX090H4F34E3SG,2026-01-28 01:33:52,0.0000,181404.96,0,660,776.470588,VERIFY QTY,0.00,0.1500,1054.68,172,0.00,0.3742,10AX090H4F34E3SG,2025-05-08 02:42:32,Plexus Corp.,17,,Medium,2
1113236,5CEBA5F23C7N,0.0168,VQ,Southchip Limited,,22+,5CEBA5F23C7N,2026-01-28 01:33:48,0.1444,163159.20,589,33.42,39.317647,YES,3473.71,0.1500,39.99,4080,3869.73,0.1643,5CEBA5F23C7N,2025-05-08 02:42:32,Plexus Corp.,17,,Medium,14
1113236,"74LVC1G74DP,125",0.0196,VQ,Dan-Mar Components Inc,,22,"74LVC1G74DP,125",2026-02-06 08:31:11,0.0976,14760.00,12000,0.1,0.117647,YES,211.76,0.1500,0.12,123000,240.00,0.1667,"74LVC1G74DP,125",2025-05-08 02:42:32,Plexus Corp.,8,,High,5
1113236,ACPLM61L500E,,Stock,Stock - Hong Kong Warehouse,,,ACPL-M61L-500E,2025-07-21 10:24:32,0.0002,83700.00,79,0,,CHECK WITH JAKE,,,0.18,465000,,,ACPLM61L500E,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,AD734SQ883B,,Stock,Stock - Hong Kong Warehouse,,,AD734SQ/883B,2025-07-21 10:24:32,0.0904,27612.25,165,0,,CHECK WITH JAKE,,,15.13,1825,,,AD734SQ883B,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,AD7683BRMZRL7,0.0251,VQ,Fixchips Global Limited,,23+,AD7683BRMZRL7,2026-02-08 22:53:04,0.5000,21480.00,2000,4.45,5.235294,YES,1570.59,0.1500,5.37,4000,1840.00,0.1713,AD7683BRMZRL7,2025-05-08 02:42:32,Plexus Corp.,6,,High,0
1113236,AD8310ARMZREEL7,-0.0994,VQ,"Yuguang International (HK) Co., Ltd",,25+,AD8310ARMZ-REEL7,2026-02-05 05:17:25,0.1429,27300.00,1000,3.6444,4.287529,NO,643.13,0.1500,3.9,7000,255.60,0.0655,AD8310ARMZREEL7,2025-05-08 02:42:32,Plexus Corp.,9,,High,0
1113236,ADRF5040BCPZR7,-0.0135,VQ,Fixchips Global Limited,,25+,ADRF5040BCPZ-R7,2026-02-08 23:00:58,0.2222,41580.00,1000,7.96,9.364706,NO,1404.71,0.1500,9.24,4500,1280.00,0.1385,ADRF5040BCPZR7,2025-05-08 02:42:32,Plexus Corp.,6,,High,0
1113236,ADS1015IRUGR,0.2044,VQ,"SourceOne electronics Co., Limited",,21+22+,ADS1015IRUGR,2026-02-05 05:22:48,1.0000,9600.00,12000,0.541,0.636471,YES,1145.65,0.1500,0.8,12000,3108.00,0.3238,ADS1015IRUGR,2025-05-08 02:42:32,Plexus Corp.,9,,High,5
1113236,ADS1115IDGSR,0.6130,VQ,Shun Chiu (HK) Industry Development Ltd,,23+,ADS1115IDGSR,2026-02-10 01:46:37,0.3333,22800.00,5000,0.50,0.588235,YES,441.18,0.1500,1.52,15000,5100.00,0.6711,ADS1115IDGSR,2025-05-08 02:42:32,Plexus Corp.,4,,High,0
1113236,ADS1115IDGST,,Stock,Stock - Austin Warehouse,,,ADS1115IDGST,2025-07-21 10:19:25,0.0467,22800.00,700,0,,CHECK WITH JAKE,,,1.52,15000,,,ADS1115IDGST,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,ADUM4160BRWZRL,0.2423,VQ,A-Power Electronic Asia Ltd,,25+,ADUM4160BRWZ-RL,2026-02-10 00:32:38,0.0833,51240.00,1000,2.75,3.235294,YES,485.29,0.1500,4.27,12000,1520.00,0.3560,ADUM4160BRWZRL,2025-05-08 02:42:32,Plexus Corp.,4,,High,2
1113236,ADUM5000ARWZRL,-0.0230,VQ,A-Power Electronic Asia Ltd,,25+,ADUM5000ARWZ-RL,2026-02-10 01:29:06,0.3333,8970.00,1000,2.6,3.058824,NO,458.82,0.1500,2.99,3000,390.00,0.1304,ADUM5000ARWZRL,2025-05-08 02:42:32,Plexus Corp.,4,,High,1
1113236,CY2292FXI,,Stock,Stock - Austin Warehouse,,,CY2292FXI,2025-07-21 10:22:17,0.0064,10250.00,16,0,,CHECK WITH JAKE,,,4.1,2500,,,CY2292FXI,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,CY8C5868AXILP032,0.3315,VQ,Fixchips Global Limited,,23+,CY8C5868AXI-LP032,2026-02-11 04:17:08,4.4444,10422.00,4000,6.58,7.741176,YES,1045.06,0.1500,11.58,900,4500.00,0.4318,CY8C5868AXILP032,2025-05-08 02:42:32,Plexus Corp.,3,,High,0
1113236,DG406DN,,Stock,Stock - Austin Warehouse,,,DG406DN,2025-07-21 10:22:17,0.0021,19600.00,42,0,,CHECK WITH JAKE,,,0.98,20000,,,DG406DN,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,DP83848IVVXNOPB,0.5643,VQ,Dynamic Domain PTE Ltd,,23+,DP83848IVVX/NOPB,2026-02-08 20:32:38,0.3333,16200.00,5000,0.4,0.470588,YES,352.94,0.1500,1.08,15000,3400.00,0.6296,DP83848IVVXNOPB,2025-05-08 02:42:32,Plexus Corp.,6,,High,0
1113236,DSPIC30F6012A30IPT,0.0916,VQ,SMARTEL ELECTRONICS (ASIA) CO LTD,,23+,DSPIC30F6012A-30I/PT,2026-01-26 00:26:15,0.1333,8952.00,160,5.76,6.776471,YES,162.64,0.1500,7.46,1200,272.00,0.2279,DSPIC30F6012A30IPT,2025-05-08 02:42:32,Plexus Corp.,19,,Medium,0
1113236,EP2AGX65DF29C6G,0.3525,VQ,Vistron Electronics (US) Ltd,,23+,EP2AGX65DF29C6G,2026-02-02 20:35:30,0.1852,282560.40,360,80,94.117647,YES,5082.35,0.1500,145.35,1944,23526.00,0.4496,EP2AGX65DF29C6G,2025-05-08 02:42:32,Plexus Corp.,12,,High,1
1113236,EP2AGX95EF35C4G,0.4174,VQ,Vistron Electronics (US) Ltd,,23+,EP2AGX95EF35C4G,2026-02-06 02:11:49,0.0845,2322552.00,720,135,158.823529,YES,17152.94,0.1500,272.6,8520,99072.00,0.5048,EP2AGX95EF35C4G,2025-05-08 02:42:32,Plexus Corp.,8,,High,1
1113236,EP3C5F256C8N,0.0370,VQ,Risetech Technology (HK) Ltd,,23+,EP3C5F256C8N,2026-02-08 23:10:30,1.5000,9324.00,1080,10.6,12.470588,YES,1346.82,0.1500,12.95,720,1692.00,0.1815,EP3C5F256C8N,2025-05-08 02:42:32,Plexus Corp.,6,,High,0
