Chuboe_RFQ_ID[Value],Chuboe_CPC,Chuboe_MFR_Text,Chuboe_MPN,Qty,PriceEntered,Description
791291,C0603C101K5GACTU,Kemet Electronics Corp,C0603C101K5GACTU,16000,,
791239,AD584KH,Analog Devices Inc,AD584KH,10,,"need C of C & traceability"
1005541,M15098/11-001,,M15098/11-001,100,,
1008499,EPCS64SI16N,Altera,EPCS64SI16N,4337,,"Sources Chip (Yuan Xin) Technology Co., Ltd - emma@sourceschip.com"
1008499,MT41K128M16JT125K,Micron Technology Inc,MT41K128M16JT125K,2000,,"Alexio Canada - alexiocanada109@gmail.com (via IC Source)"
1008499,FT2232HL-REEL,FTDI,FT2232HL-REEL,1000,,"Sources Chip (Yuan Xin) Technology Co., Ltd - leah@sourceschip.com"
1005847,EPCS64SI16N,Altera,EPCS64SI16N,99,,"SINGLE DC FOR TESTING"
1008539,19199-001-XTD,,19199-001-XTD,100,,
1008539,19199-001-XTD,,19199-001-XTD,60,,
1003064,LT8645SHV-2#PBF,Analog Devices Inc,LT8645SHV-2#PBF,200,,
781044,RNC55H7501FR,Vishay Intertechnology Inc,RNC55H7501FR,400,,
1008499,TPS3802K33DCKR,Texas Instruments,TPS3802K33DCKR,10000,,"Shenzhen Aidapuli Electronics Co., Ltd - purchase-6@aidapuli.cn"
1008499,EPCS64SI16N,Altera,EPCS64SI16N,4337,,"Shenzhen Tongda kexun electronic technology co., ltd - ben@tongdakexun.cn"
1008499,HMC5983-TR,,HMC5983-TR,2000,,"Joiyea Electronics HK Limited - joiyea.allen@foxmail.com"
1008499,LIS3DHTR,STMicroelectronics,LIS3DHTR,47800,,"Xin electronic technology hong kong limited - xinlianchengallen@163.com"
1008499,EPCS64SI16N,Altera,EPCS64SI16N,4337,3.00,"Kailaiji Electronic Trading Co. - brian@ickailaiji.cn"
1008499,5M240ZT100C5N,Altera,5M240ZT100C5N,500,,"Alexio Canada - alexiocanada109@gmail.com (via IC Source)"
1003104,PCIB26W11F300A1/AA,Amphenol,PCIB26W11F300A1/AA,10,,
1003104,PCIB26W11RM400A1/AA,Amphenol,PCIB26W11RM400A1/AA,10,,
1008499,CS5484-INZR,Cirrus Logic,CS5484-INZR,33619,,"Shenzhen Lazunfa Technology Co. - viola3344@sohu.com"
1008499,SI8642BB-B-IS,Silicon Labs,SI8642BB-B-IS,3273,,"Hong Kong Chengxin Electronic Technology Co., Ltd - julian886@126.com"
1005082,MT47H128M16RT-25E:C,Micron Technology Inc,MT47H128M16RT-25E:C,200,,
1008499,W631GG6NB-12,Winbond,W631GG6NB-12,1514,,"shenzhen yuyi Co., Ltd - qq_1933@163.com"
1004752,74LVC1G3157GW,Nexperia,74LVC1G3157GW,18000,,
1008499,MT53E512M32D1ZW046WTB,Micron Technology Inc,MT53E512M32D1ZW046WTB,660,,"Mission21 Inc - cehong@mission21.co.kr (via IC Source)"
1008499,PIC18F252T-I/SO,Microchip Technology Inc,PIC18F252T-I/SO,1600,,"Tenchip HK Ltd - scott@tenchip-hk.com"
1008499,MT53E512M32D1ZW046,Micron Technology Inc,MT53E512M32D1ZW046,4000,,"Forex Electronics Co Limited - olivia@forexelec.com (via IC Source)"
1008499,MT53D1024M32D4DT-053,Micron Technology Inc,MT53D1024M32D4DT-053,1360,,"ayla-jenner@qq.com"
1008499,UCC28C43DR,Texas Instruments,UCC28C43DR,18187,,"Shenzhen YHao Technology Co., Ltd - nsygdsvxbd@126.com"
1008499,XC6SLX25-2FTG256I,Xilinx Inc,XC6SLX25-2FTG256I,1000,,"Shenzhen Weiyali Development Co., Ltd - evelyn@wylfz.com"
1008499,IS42S16400J-7TLI-TR,Issi,IS42S16400J-7TLI-TR,26960,,"Shenzhen Xinbaba Technology Co., LTD - echoamberch@163.com"
1008499,XC9536-7VQ44I,Xilinx Inc,XC9536-7VQ44I,1023,,"Grand Horizon Trading Co., Ltd - wynnav@163.com"
1008499,PCAL6416AHF,NXP Semiconductors,PCAL6416AHF,5930,,"Htrs Technology Co., Ltd - alan_htrs@163.com"
1008499,W25Q128JVSIQ,Winbond,W25Q128JVSIQ,1985,,"Shenzhen Xinying Jiaye Electronic Technology Co., Ltd - wadexx520@163.com"
1008499,AD584TH/883B,Analog Devices Inc,AD584TH/883B,81,,"ethan1232025@163.com"
1008499,FT2232HL-REEL,FTDI,FT2232HL-REEL,1000,,"Shenzhen Xiaotong Tech - hannah@kidtech.com.cn"
1008499,MX29F400CBTI-70G,Macronix,MX29F400CBTI-70G,960,,"HongKong Tian Qi Technology Co.Ltd - ginakiki@163.com"
1008499,EP3C120F484I7N,Altera,EP3C120F484I7N,800,,"joy.chenpeng@qq.com"
1008499,FT2232HL-REEL,FTDI,FT2232HL-REEL,1000,,"Ioneia Electronics Co., Ltd - 17846513021@163.com"
1008499,TDE1798DP,STMicroelectronics,TDE1798DP,200,,"Shenzhen Pengyuan Microelectronics Co., Ltd - ellie@szpengyuan.cn"
1008499,MT40A256M16LY-062E,Micron Technology Inc,MT40A256M16LY-062E,1950,,"ayla-jenner@qq.com"
1005087,AD584TH/883B,Analog Devices Inc,AD584TH/883B,11,,
1008499,FT2232HLREEL,FTDI,FT2232HLREEL,1000,4.00,"Shenzhen Pengyuan Microelectronics Co., Ltd - felix@szpengyuan.cn"
1008499,EPCS64SI16N,Altera,EPCS64SI16N,200,,"Zhong Ce Electronic Technology - Cindy@zhongceco.com"
1008499,LIS3DHTR,STMicroelectronics,LIS3DHTR,47894,,"stella@zhiyuic.com"
1008499,W631GG6NB-12,Winbond,W631GG6NB-12,1514,,"ShenZhen A.S.W Technology Co., Ltd - evelyn@asw-tech.com"
1008499,W25Q128JVSIQ,Winbond,W25Q128JVSIQ,1985,,"Shenzhen Longchengda Electronics Co., Ltd - cong@lwchain.cn"
1008499,PC28F128J3F75B,Intel,PC28F128J3F75B,2000,,"2070785627@qq.com"
1008499,CS5340-CZZR,Cirrus Logic,CS5340-CZZR,3819,,"Shenzhen Ganxin Technology Co., Ltd - zephyr@feelchips.com"
1008499,FT2232HL-REEL,FTDI,FT2232HL-REEL,1000,,"Panjz Technology Co., Ltd - james_1450@163.com"
1008499,FT2232HL,FTDI,FT2232HL,1000,3.00,"Kailaiji Electronic Trading Co. - bryan@ickailaiji.cn"
1008499,S25FL064LABNFI043,Cypress Semiconductor Corp,S25FL064LABNFI043,17664,,"Shenzhen Weiyali Development Co., Ltd - zoe@wylfz.com"
1008499,IS42S16400J-7TLI-TR,Issi,IS42S16400J-7TLI-TR,165732,,"Shenzhen Yudexin Electronic Technology Co., Ltd - lily@yudexin-tech.com"
1008499,LIS3DHTR,STMicroelectronics,LIS3DHTR,47897,,"Lynn@qxqcc.cn"
1008499,STB120N4F6,STMicroelectronics,STB120N4F6,5000,,"wwwssshhhh0320@163.com"
1008499,VNQ7050AJTR,STMicroelectronics,VNQ7050AJTR,5000,,"susie-sandy@qq.com"
1008499,VNQ7050AJTR,STMicroelectronics,VNQ7050AJTR,5000,,"natalie_56@163.com"
1004113,INA826AIDGKR,Texas Instruments,INA826AIDGKR,5000,,
1008499,S25FL064LABNFI043,Cypress Semiconductor Corp,S25FL064LABNFI043,17664,,"Shenzhen Nanfeng Electronics - raotao@pimee.cn"
1008499,MT47H128M16RT-25E:C,Micron Technology Inc,MT47H128M16RT-25E:C,2000,,"lhd11lhd@163.com"
1008499,LIS3DHTR,STMicroelectronics,LIS3DHTR,47894,,"Shenzhen Weiyali Development Co., Ltd - isabella@wylfz.com"
1008499,MS3122E145SW,Amphenol,MS3122E145SW,50,,"Exceltek - dg.sou01@exceltek.com"
